,nama,rating,jumlah_reviewer,tipe,lat,long,alamat,kelurahan,kecamatan,kota,bayesian_rating
1017,Umbra Coffee & Roastery,4.7,266,Coffee shop,-5.1563994,119.4210322,"Jalan Tupai, Mandala, Mamajang, Makassar, Sulawesi Selatan, Sulawesi, 90132, Indonesia",Mandala,Mamajang,Makassar,4.632542317219761
850,Kedai Kopi Ajwa,4.8,104,Coffee shop,-5.1134682,119.5050659,"Pasar Grosir Daya Modern, Jalan Kapasa Raya, Daya, Biringkanaya, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Daya,Biringkanaya,Makassar,4.63003266142081
10,Kaori Coffee,4.9,65,Coffee shop,-5.1594614,119.4442301,"Jalan Bau Mangga, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Masale,Panakkukang,Makassar,4.629281830682492
1075,POJI KOPI,5.0,47,Coffee shop,-5.1634398,119.4204222,"Jalan Serigala, Mamajang Dalam, Mamajang, Makassar, Sulawesi Selatan, Sulawesi, 90132, Indonesia",Mamajang Dalam,Mamajang,Makassar,4.628154866593071
20,KopTu Authentic Makassar,4.9,64,Coffee shop,-5.1585308,119.4523941,"Aza Guest House, Jalan Pandang Raya, Pandang, Paropo, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Pandang,Panakkukang,Makassar,4.627693528833244
116,Rumah Kopi Sweetness coffee mks,4.7,239,Coffee shop,-5.162998,119.430592,"Jalan R.S.I Faisal XIV, Banta-Bantaeng, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",Banta-Bantaeng,Rappocini,Makassar,4.627269821644991
1189,MANNA CAFE,4.8,100,Coffee shop,-5.17833,119.44258,"Gunung Sari, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 92221, Indonesia",Gunung Sari,Rappocini,Makassar,4.626739439358656
403,MOOVS from Tastea - Perintis 1,4.7,231,Coffee shop,-5.1412232,119.4869624,"Jalan Perintis Kemerdekaan, Tamalanrea Jaya, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Tamalanrea Jaya,Tamalanrea,Makassar,4.625545566252176
396,Obladi Cafe,4.7,223,Cafe,-5.1383624,119.4844914,"Jalan Perintis Kemerdekaan 7, Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar,4.62373756977029
982,Warkop Omsan,4.8,96,Coffee shop,-5.1240319,119.4198209,"Jalan Bandang IV, Parang Layang, Bontoala, Makassar, Sulawesi Selatan, Sulawesi, 90156, Indonesia",Parang Layang,Bontoala,Makassar,4.623316079374943
1306,PUBLIC COFFEE & SPACE,4.9,61,Cafe,-5.165866,119.4102871,"Jalan Baji Minasa, Tamarunang, Mariso, Makassar, Sulawesi Selatan, Sulawesi, 90126, Indonesia",Tamarunang,Mariso,Makassar,4.622814797146486
118,Duajiwa Coffee,4.7,215,Coffee shop,-5.1640141,119.4240097,"Jalan Andi Djemma, Banta-Bantaeng, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",Banta-Bantaeng,Rappocini,Makassar,4.621839579851655
100,Kinawa Coffee,4.8,94,Coffee shop,-5.1496308,119.4353298,"Jalan Pelita Raya, Masale, Ballaparang, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Ballaparang,Rappocini,Makassar,4.621553162994075
1054,Kiyan Space,4.9,60,Coffee shop,-5.1492338,119.4188021,"Jalan Pelanduk, Maricaya, Makassar, Sulawesi Selatan, Sulawesi, 90131, Indonesia",Maricaya,Makassar,Makassar,4.621149471427531
237,Teras Al-Qahwah,5.0,44,Coffee shop,-5.1204626,119.4304006,"Jalan Sunu 3, Suangga, Tallo, Makassar, Sulawesi Selatan, Sulawesi, 90215, Indonesia",Suangga,Tallo,Makassar,4.6207399633579405
